30 22 97
4 28 20
85 22 46
33 95 37
0 77 47
69 12 14
29 13 91
50 66 21
28 34 55
100 37 69
72 9 42
89 34 20
25 94 68
72 63 50
52 65 26
31 83 10
50 37 43
36 59 51
59 14 83
51 81 93
82 26 41
33 59 6
44 49 46
71 36 79
33 66 7
18 20 15
58 22 20
48 2 90
65 85 71
0 52 86
38 59 62
85 60 29
64 1 91
31 14 66
85 17 0
27 68 11
16 27 69
33 59 21
63 70 33
27 37 8
72 11 43
97 26 77
22 6 64
33 11 30
5 30 28
88 91 15
29 48 30
90 40 46
67 89 97
32 69 71
68 3 72
92 35 26
40 71 33
8 44 22
62 53 91
22 69 20
3 87 60
78 54 31
3 7 18
89 55 83
83 14 57
37 28 41
32 98 82
56 33 65
19 18 61
19 16 38
45 22 22
93 15 27
26 77 9
12 25 45
19 24 50
53 21 96
36 15 33
13 43 32
71 33 25
77 87 80
20 62 74
9 13 42
32 25 15
94 28 71
87 64 96
10 96 53
81 11 14
43 29 82
98 41 93
56 31 49
7 46 88
74 3 83
89 57 91
61 78 72
40 46 73
63 19 53
43 42 35
63 74 78
33 12 1
9 23 38
43 64 16
97 56 86
27 39 14
70 22 5
11 65 55
6 29 77
0 77 0
23 57 8
66 41 22
48 7 96
59 38 100
41 70 78
74 65 88
14 73 29
73 28 37
47 2 46
29 87 55
1 50 33
99 62 36
43 79 82
75 12 51
48 12 74
98 89 34
57 6 78
55 49 19
95 58 85
0 17 27
4 60 85
97 45 64
75 1 92
67 2 72
25 21 36
99 74 53
15 5 50
58 91 71
29 7 33
28 99 57
8 28 95
77 67 60
22 90 68
16 51 26
84 89 55
36 61 27
56 67 56
2 98 47
65 2 15
4 22 31
2 93 40
29 74 84
69 23 0
26 75 23
52 89 7
0 32 14
28 60 6
100 71 41
86 90 21
18 7 99
53 78 97
5 46 79
39 56 40
12 60 95
81 26 16
27 27 29
14 68 11
81 16 49
80 46 71
73 57 68
21 77 75
59 64 11
26 45 80
32 82 42
58 90 28
6 86 53
89 98 22
57 57 30
31 12 100
46 30 58
13 100 91
31 4 28
8 67 43
66 47 52
88 6 100
0 99 62
15 97 30
10 9 24
35 27 31
65 20 30
63 23 59
94 40 45
65 17 93
65 22 71
24 81 67
8 97 41
80 38 6
29 4 40
47 90 39
39 20 98
20 74 64
74 61 95
57 94 88
51 90 53
60 91 0
68 92 36
7 59 53
15 51 44
67 100 54
29 20 76
32 13 84
33 55 84
66 53 75
62 24 19
50 33 39
98 92 3
15 81 62
53 43 67
40 69 89
37 6 39
19 47 18
15 82 58
79 75 82
43 87 89
53 97 28
85 36 43
32 54 98
49 11 65
97 3 71
31 22 35
56 77 90
66 37 83
78 40 89
85 58 50
87 48 81
42 46 61
59 2 34
43 97 57
44 18 71
80 44 3
82 28 42
84 33 74
4 46 69
71 83 86
84 100 68
92 72 9
68 6 57
23 59 34
41 56 64
85 19 50
37 79 24
1 68 80
79 70 17
83 73 64
81 21 64
79 72 32
99 44 59
29 4 1
6 14 9
97 59 19
89 47 26
98 65 10
3 42 64
50 92 88
98 69 77
99 33 17
73 62 10
61 81 56
31 72 29
91 39 66
9 76 4
2 86 16
62 54 52
72 43 96
41 23 21
21 49 37
22 52 10
47 80 14
11 89 72
80 63 38
73 66 68
39 27 53
54 93 56
12 11 81
39 45 21
56 15 59
60 9 23
9 3 66
17 60 51
68 43 100
39 15 9
73 54 23
40 91 51
39 4 85
83 53 26
23 28 50
41 91 1
85 29 25
1 100 15
51 70 74
24 87 16
67 43 50
17 87 6
30 46 0
99 46 78
81 76 10
65 33 99
26 60 19
74 26 46
50 1 39
71 92 21
56 51 62
62 38 79
84 22 16
42 53 15
13 44 43
13 83 27
2 54 14
14 67 6
33 94 85
70 34 97
47 40 85
92 52 91
15 23 52
4 38 94
72 19 76
